string,date,url,author,source
"Jett: The Far Shore Imagines Conscientious Space Colonization: WIRED spoke with the game's devs, plus a senior NASA astrobiologist, about the game and its vision of interstellar environmentalism.: Ahead of you is a vast pink sky and a teeming alien planet. Your copilot, Isao, asks you to cut the aircrafts engine. He wants to savor this moment: your first look at an entirely new world.
Jett: T… [+3481 chars]",2021-10-13T12:00:00Z,https://www.wired.com/story/jett-the-far-shore-astrobiology-space-travel/,Lewis Gordon,"{'id': 'wired', 'name': 'Wired'}"
"How Wavelets Let Researchers Transform and Understand Data: Built upon the ubiquitous Fourier transform, these mathematical tools allow unprecedented analysis of continuous signals.: In an increasingly data-driven world, mathematical tools known as wavelets have become an indispensable way to analyze and understand information. Many researchers receive their data in the form of c… [+4315 chars]",2021-10-24T12:00:00Z,https://www.wired.com/story/how-wavelets-let-researchers-transform-and-understand-data/,Alexander Hellemans,"{'id': 'wired', 'name': 'Wired'}"
"Will Data Science be in Demand in the Future?: Significant opportunities can be found in science and technology.: An article in Harvard Business Reviewonce called being a data scientist ""the sexiest job of the 21st century."" So what does one have to do to earn that title?
A data scientist can tackle multifacete… [+3629 chars]",2021-09-28T18:15:00Z,https://www.entrepreneur.com/article/383486,Rajan Thapaliya,"{'id': None, 'name': 'Entrepreneur'}"
"William Shatner becomes the oldest person to reach space: It's official: after plenty of hype and a slight delay, William Shatner has become the oldest person to fly to space. The 90-year-old Star Trek icon was one of four crew members aboard Blue Origin's NS-18 mission as it flew to an altitude of 66 miles. He edge…: It's official: after plenty of hype and a slight delay, William Shatner has become the oldest person to fly to space. The 90-year-old Star Trek icon was one of four crew members aboard Blue Origin's … [+1151 chars]",2021-10-13T14:54:44Z,https://www.engadget.com/william-shatner-blue-origin-spaceflight-successful-145444763.html,Jon Fingas,"{'id': 'engadget', 'name': 'Engadget'}"
"Missouri Governor Wants to Prosecute Journalist for Warning That State Left Teachers' Data Exposed: Missouri Gov. Mike Parson claims he wants to legally punish a reporter who tried to alert the state to its bad data practices.: The Missouri government is threatening legal action against a newspaper reporter that helpfully pointed out a glaring cybersecurity hole in one of its websites. Instead of thanking the journalist, Go… [+4009 chars]",2021-10-15T00:20:00Z,https://gizmodo.com/missouri-governor-wants-to-prosecute-journalist-for-war-1847866414,Lucas Ropek,"{'id': None, 'name': 'Gizmodo.com'}"
"Technology is Reinventing the Insurance Industry: When most people think about insurance companies, they don’t immediately think of tech. Sudesh Kannan thought the same when he started at Allstate.Read more...: When most people think about insurance companies, they dont immediately think of tech. Sudesh Kannan thought the same when he started at Allstate.
When I walked in, I didnt realize how much technolo… [+4477 chars]",2021-10-18T10:40:00Z,https://gizmodo.com/technology-is-reinventing-the-insurance-industry-1847680583,Rosa Escandón for Allstate,"{'id': None, 'name': 'Gizmodo.com'}"
"Pioneering astronaut Sally Ride will appear on a limited-run US quarter: It's not just countries like Canada paying tribute to space exploration on their currency. The US Mint has unveiled the first coins in its American Women Quarters Program, and one of them features the late Dr. Sally Ride, the first American woman astronaut. T…: It's not just countries like Canada paying tribute to space exploration on their currency. The US Mint has unveiled the first coins in its American Women Quarters Program, and one of them features th… [+1141 chars]",2021-10-10T16:41:58Z,https://www.engadget.com/astronaut-sally-ride-us-quarter-164158348.html,Jon Fingas,"{'id': 'engadget', 'name': 'Engadget'}"
"11 Scary Space Facts That'll Make You Appreciate the Earth We're Destroying: We need to get rid of outer space—it’s too dark and too terrifying, and everything out there wants to kill us. Yet some of our most popular billionaires seem convinced that rocketing humanity off into the stars is a more viable longterm survival strategy than…: In the early days of space exploration, non-human test pilots were shot up into space regularly, sometimes with no thought of how they might return. Some of the dogs, chimps, mice, cats, frogs, and o… [+228 chars]",2021-10-08T12:00:00Z,https://lifehacker.com/11-scary-space-facts-thatll-make-you-appreciate-the-ear-1847821767,Stephen Johnson,"{'id': None, 'name': 'Lifehacker.com'}"
"'Winterize' Your Outdoor Space so You Can Actually Use It When It Gets Cold: Porches, patios, and decks have become major go-to spaces for entertaining, particularly since the start of the pandemic. While the changing weather might present you with a few challenges, there are some things you can do to get the most out of you outdoor s…: Porches, patios, and decks have become major go-to spaces for entertaining, particularly since the start of the pandemic. While the changing weather might present you with a few challenges, there are… [+4515 chars]",2021-10-19T15:00:00Z,https://lifehacker.com/winterize-your-outdoor-space-so-you-can-actually-use-it-1847885756,Becca Lewis,"{'id': None, 'name': 'Lifehacker.com'}"
"UK takes on Elon Musk in the broadband space race: Image credit: The Observer
﻿They are invisible to the naked eye, but can leave a streak of light across an astronomer’s telescope. Above our heads, the constellation of small satellites orbiting the Earth is expanding every month. Often no bigger than a frid…: They are invisible to the naked eye, but can leave a streak of light across an astronomer’s telescope. Above our heads, the constellation of small satellites orbiting the Earth is expanding every mon… [+7140 chars]",2021-10-10T14:01:00Z,https://techncruncher.blogspot.com/2021/10/uk-takes-on-elon-musk-in-broadband.html,noreply@blogger.com (Unknown),"{'id': None, 'name': 'Blogspot.com'}"
